material_name,catalog_name,nd,vd,density,comment
H-FK55,CDGM-ZEMAX202509,1.5502,75.224681,4.11,
H-FK61,CDGM-ZEMAX202509,1.497,81.612838,3.7,
H-FK61B,CDGM-ZEMAX202509,1.497,81.605419,3.68,
H-FK71,CDGM-ZEMAX202509,1.4565,90.273821,3.63,
H-FK95N,CDGM-ZEMAX202509,1.4378,94.523389,3.52,
H-QK1,CDGM-ZEMAX202509,1.47047,66.876032,2.3,
H-QK3L,CDGM-ZEMAX202509,1.48749,70.440487,2.43,
H-K1,CDGM-ZEMAX202509,1.49967,62.071979,2.47,
H-K2,CDGM-ZEMAX202509,1.50047,66.020774,2.42,
H-K3,CDGM-ZEMAX202509,1.50463,64.720718,2.4,
K4A,CDGM-ZEMAX202509,1.50802,61.052897,2.43,
H-K5,CDGM-ZEMAX202509,1.510072,63.364525,2.47,
H-K6,CDGM-ZEMAX202509,1.511125,60.478905,2.53,
H-K7,CDGM-ZEMAX202509,1.51478,60.634896,2.54,
H-K8,CDGM-ZEMAX202509,1.51602,56.794825,2.58,
H-K9L,CDGM-ZEMAX202509,1.5168,64.198732,2.52,
H-K9LGT,CDGM-ZEMAX202509,1.5168,64.198732,2.52,
H-K9L*,CDGM-ZEMAX202509,1.5168,64.198732,2.52,
H-K9LA,CDGM-ZEMAX202509,1.5168,64.198695,2.51,
H-K9LAGT,CDGM-ZEMAX202509,1.5168,64.198695,2.51,
H-K10,CDGM-ZEMAX202509,1.51818,58.949331,2.5,
H-K11,CDGM-ZEMAX202509,1.52638,60.15737,2.69,
H-K12,CDGM-ZEMAX202509,1.533589,55.469983,2.72,
H-K50,CDGM-ZEMAX202509,1.52249,59.480754,2.52,
H-K51,CDGM-ZEMAX202509,1.52307,58.639792,2.53,
H-ZPK1A,CDGM-ZEMAX202509,1.618,63.392702,3.61,
H-ZPK2A,CDGM-ZEMAX202509,1.603001,65.45962,3.5,
H-ZPK3,CDGM-ZEMAX202509,1.59349,67.285372,3.36,
H-ZPK5,CDGM-ZEMAX202509,1.5928,68.342024,4.29,
H-ZPK7,CDGM-ZEMAX202509,1.56907,71.304254,4.36,
H-BAK1,CDGM-ZEMAX202509,1.53028,60.466139,2.74,
H-BAK2,CDGM-ZEMAX202509,1.53996,59.724182,2.84,
H-BAK3,CDGM-ZEMAX202509,1.54678,62.776077,2.84,
H-BAK4,CDGM-ZEMAX202509,1.55248,63.36549,2.9,
H-BAK5,CDGM-ZEMAX202509,1.56069,58.344731,3.01,
H-BAK6,CDGM-ZEMAX202509,1.56388,60.764747,3.05,
H-BAK7,CDGM-ZEMAX202509,1.56883,56.041308,2.83,
H-BAK7GT,CDGM-ZEMAX202509,1.56883,56.041308,2.83,
H-BAK8,CDGM-ZEMAX202509,1.5725,57.486797,3.18,
H-ZK1,CDGM-ZEMAX202509,1.56888,62.95699,3.06,
H-ZK2,CDGM-ZEMAX202509,1.58313,59.460082,3.24,
H-ZK3,CDGM-ZEMAX202509,1.58913,61.253571,3.26,
H-ZK3A,CDGM-ZEMAX202509,1.58913,61.2531,3.31,
H-ZK4,CDGM-ZEMAX202509,1.60881,58.855991,3.53,
H-ZK5,CDGM-ZEMAX202509,1.61117,55.772437,3.58,
H-ZK6,CDGM-ZEMAX202509,1.61272,58.577083,3.54,
H-ZK7A,CDGM-ZEMAX202509,1.61309,60.355862,3.41,
H-ZK8,CDGM-ZEMAX202509,1.61405,55.116283,3.58,
H-ZK9B,CDGM-ZEMAX202509,1.62041,60.339343,3.58,
H-ZK9A,CDGM-ZEMAX202509,1.620412,60.368242,3.53,
H-ZK10,CDGM-ZEMAX202509,1.6221,56.709831,3.63,
H-ZK10L,CDGM-ZEMAX202509,1.6228,56.913492,3.63,
H-ZK11,CDGM-ZEMAX202509,1.63854,55.446553,3.69,
H-ZK14,CDGM-ZEMAX202509,1.60311,60.603787,3.44,
H-ZK20,CDGM-ZEMAX202509,1.6172,53.913743,3.66,
H-ZK21,CDGM-ZEMAX202509,1.62299,58.120667,3.56,
H-ZK50,CDGM-ZEMAX202509,1.60738,56.654511,3.54,
H-ZK50GT,CDGM-ZEMAX202509,1.60738,56.654511,3.54,
H-LAK1,CDGM-ZEMAX202509,1.6595,57.34726,3.94,
H-LAK2A,CDGM-ZEMAX202509,1.69211,54.539198,3.94,
H-LAK3,CDGM-ZEMAX202509,1.74693,50.950085,4.08,
H-LAK4L,CDGM-ZEMAX202509,1.64,60.202769,2.99,
H-LAK5A,CDGM-ZEMAX202509,1.6779,55.51497,3.8,
H-LAK6A,CDGM-ZEMAX202509,1.6935,53.380441,3.59,
H-LAK7A,CDGM-ZEMAX202509,1.713,53.832974,3.74,
H-LAK8B,CDGM-ZEMAX202509,1.72,50.280736,3.88,
H-LAK8A,CDGM-ZEMAX202509,1.72,50.343857,3.77,
H-LAK10,CDGM-ZEMAX202509,1.65113,55.890872,3.73,
H-LAK11,CDGM-ZEMAX202509,1.66461,54.612239,4.02,
H-LAK12,CDGM-ZEMAX202509,1.6968,56.175305,3.71,
H-LAK50A,CDGM-ZEMAX202509,1.6516,58.403057,3.5,
H-LAK51A,CDGM-ZEMAX202509,1.6968,55.526357,3.56,
H-LAK52,CDGM-ZEMAX202509,1.72916,54.684737,4.02,
H-LAK53B,CDGM-ZEMAX202509,1.755,52.322058,4.22,
H-LAK53A,CDGM-ZEMAX202509,1.755,52.320574,4.39,
H-LAK54,CDGM-ZEMAX202509,1.734,51.485829,4.01,
H-LAK59A,CDGM-ZEMAX202509,1.691,54.815309,3.94,
H-LAK61,CDGM-ZEMAX202509,1.740999,52.676196,4.1,
H-LAK67,CDGM-ZEMAX202509,1.67,51.738482,3.73,
H-LAK71,CDGM-ZEMAX202509,1.703,52.406734,3.75,
H-LAK72,CDGM-ZEMAX202509,1.713,51.80665,4.34,
H-TK9,CDGM-ZEMAX202509,1.587166,75.902131,4.37,
H-KF6,CDGM-ZEMAX202509,1.51742,52.149249,2.47,
H-QF1,CDGM-ZEMAX202509,1.54814,45.820011,2.58,
H-QF3,CDGM-ZEMAX202509,1.57501,41.504715,2.6,
H-QF6A,CDGM-ZEMAX202509,1.53172,48.839833,2.52,
H-QF8,CDGM-ZEMAX202509,1.54072,47.230007,2.54,
H-QF14,CDGM-ZEMAX202509,1.59551,39.222748,2.62,
H-QF50,CDGM-ZEMAX202509,1.58144,40.888972,2.6,
H-QF50A,CDGM-ZEMAX202509,1.58144,40.746424,2.61,
QF50,CDGM-ZEMAX202509,1.58144,40.885954,3.23,
H-QF56,CDGM-ZEMAX202509,1.56732,42.810117,2.62,
H-F1,CDGM-ZEMAX202509,1.60342,38.010877,2.63,
