donor_id,lens_id,surface_front,surface_back,native_material,native_nd,native_Vd,lens_power_sign,lens_role,position_role,dji_best_match,dji_nd,dji_Vd,nd_error,Vd_error,role_match_status,mapping_score,notes
US7023628B1,L1,S1,S2,MODEL_1.910000_35.470,1.910000,35.470000,positive,front_negative_high_index,front_group,TAFD33,1.881000,40.140000,0.029000,4.670000,COMPATIBLE,0.276500,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7023628B1,L2,S3,S4,MODEL_1.816000_46.610,1.816000,46.610000,positive,positive_crown,front_group,TAF5,1.816000,46.570000,0.000000,0.040000,INCOMPATIBLE,0.000000,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7023628B1,L3,S5,S6,MODEL_1.917000_21.510,1.917000,21.510000,weak,flint_color_correction,stop_near,E-FDS1,1.922860,20.880000,0.005860,0.630000,COMPATIBLE,0.709900,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7023628B1,L4,S8,S9,MODEL_1.729000_54.670,1.729000,54.670000,positive,rear_relay,rear_group,TAC8,1.729160,54.670000,0.000160,0.000000,UNCERTAIN,0.498400,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7023628B1,L5,S9,S10,MODEL_1.917000_21.510,1.917000,21.510000,negative,flint_color_correction,rear_group,E-FDS1,1.922860,20.880000,0.005860,0.630000,COMPATIBLE,0.709900,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7023628B1,L6,S11,S12,MODEL_1.640000_60.150,1.640000,60.150000,positive,rear_relay,rear_group,LACL60,1.640000,60.200000,0.000000,0.050000,UNCERTAIN,0.497500,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7023628B1,cover,S13,S14,MODEL_1.516000_64.170,1.516000,64.170000,weak,cover_or_filter,cover,D-K9,1.516330,64.058952,0.000330,0.111048,UNCERTAIN,0.491148,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7554753B2,L1,S1,S2,MODEL_1.516800_64.103,1.516800,64.103000,negative,front_negative_high_index,front_group,H-K9LA,1.516800,64.198695,0.000000,0.095695,INCOMPATIBLE,0.000000,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7554753B2,L2,S3,S4,MODEL_1.516800_64.103,1.516800,64.103000,negative,front_negative_high_index,front_group,H-K9LA,1.516800,64.198695,0.000000,0.095695,INCOMPATIBLE,0.000000,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7554753B2,L3a,S5,S6,MODEL_1.620409_60.140,1.620409,60.140000,positive,positive_crown,front_group,H-ZK9B,1.620410,60.339343,0.000001,0.199343,COMPATIBLE,0.790023,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7554753B2,L3b,S6,S7,MODEL_1.672700_32.170,1.672700,32.170000,negative,flint_color_correction,stop_near,E-FD5,1.672700,32.170000,0.000000,0.000000,COMPATIBLE,0.800000,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7554753B2,L4,S9,S10,MODEL_1.603001_65.416,1.603001,65.416000,positive,rear_relay,rear_group,H-ZPK2A,1.603001,65.459620,0.000000,0.043620,UNCERTAIN,0.497819,DJI_LIBRARY_INCOMPLETE; no material substitution executed
US7554753B2,L5a,S11,S12,MODEL_1.744000_45.001,1.744000,45.001000,positive,rear_relay,rear_group,H-LAF3B,1.744000,44.900027,0.000000,0.100973,UNCERTAIN,0.494951,DJI_LIBRARY_INCOMPLETE; no material substitution executed
