variant_id,base_case,front_group_scale,rear_group_scale,stop_to_rear_delta,rear_spacing_delta,image_plane_delta,TTL_mm,BFL_mm,image_height_mm,max_pass_field_deg,failure_field,failure_ray,failure_surface,failure_type,geometry_status,trace_status,gate_A_BFL,gate_B_field60,gate_C_IH3,gate_D_IH4,notes
GRID_001,CN114_Emb1_V2_nearest,0.8,0.7,0.0,-0.1,0.4,13.049400,2.323000,1.708330,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_002,CN114_Emb1_V2_nearest,0.8,0.7,0.02,-0.1,0.4,13.049400,2.323000,1.712805,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_003,CN114_Emb1_V2_nearest,0.8,0.85,0.0,-0.1,0.4,13.885200,2.323000,1.937132,35.0,45.0,ep_my,VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_004,CN114_Emb1_V2_nearest,0.8,0.85,0.02,-0.1,0.4,13.885200,2.323000,1.939636,35.0,45.0,ep_my,VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_005,CN114_Emb1_V2_nearest,0.8,1.0,0.0,-0.1,0.4,14.721000,2.323000,2.176477,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_006,CN114_Emb1_V2_nearest,0.8,1.0,0.02,-0.1,0.4,14.721000,2.323000,2.177332,NONE,0.0,ep_px;ep_mx;ep_py;ep_my,VC8;VC8;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_007,CN114_Emb1_V2_nearest,0.8,1.15,0.0,-0.1,0.4,15.556800,2.323000,2.425457,NONE,0.0,ep_px;ep_mx;ep_py;ep_my;in_p7;in_m7,VC7;VC7;VC7;VC7;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_008,CN114_Emb1_V2_nearest,0.8,1.15,0.02,-0.1,0.4,15.556800,2.323000,2.424857,NONE,0.0,ep_px;ep_mx;ep_py;ep_my;in_p7;in_m7,VC7;VC7;VC7;VC7;VC8;VC8,vignetting,GATE1_FAIL_GEOMETRY,PARTIAL,PASS,FAIL,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_009,CN114_Emb1_V2_nearest,0.9,0.7,0.0,-0.1,0.4,13.836400,2.323000,1.714123,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
GRID_010,CN114_Emb1_V2_nearest,0.9,0.7,0.02,-0.1,0.4,13.836400,2.323000,1.718452,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,group_scale; fresh-load; deterministic limited rebuild; no optimizer; asphere coefficients unchanged
