donor_id,lens_id,native_material,native_nd,native_Vd,mapping_method,dji_candidate,dji_nd,dji_Vd,nd_error,Vd_error,D_ndvd,role_penalty,type_penalty,D_total,mapping_score,rank,notes
US7023628B1,L1,MODEL_1.910000_35.470,1.910000,35.470000,nearest_ndvd,H-ZLAF4LB,1.910820,35.282389,0.000820,0.187611,0.017581,0.0,0.0,0.017581,0.982419,1,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L1,MODEL_1.910000_35.470,1.910000,35.470000,nearest_ndvd,H-ZLAF4LA,1.910820,35.250340,0.000820,0.219660,0.019183,0.0,0.0,0.019183,0.980817,2,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L1,MODEL_1.910000_35.470,1.910000,35.470000,nearest_ndvd,TAFD35,1.910820,35.250000,0.000820,0.220000,0.019200,0.0,0.0,0.019200,0.980800,3,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L1,MODEL_1.910000_35.470,1.910000,35.470000,role_aware,TAFD33,1.881000,40.140000,0.029000,4.670000,0.523500,0.0,0.2,0.723500,0.276500,1,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L1,MODEL_1.910000_35.470,1.910000,35.470000,role_aware,H-ZLAF73,1.881000,40.161331,0.029000,4.691331,0.524567,0.0,0.2,0.724567,0.275433,2,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L1,MODEL_1.910000_35.470,1.910000,35.470000,role_aware,H-ZLAF68B,1.883004,40.806875,0.026996,5.336875,0.536804,0.0,0.2,0.736804,0.263196,3,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L2,MODEL_1.816000_46.610,1.816000,46.610000,nearest_ndvd,TAF5,1.816000,46.570000,0.000000,0.040000,0.002000,0.0,0.0,0.002000,0.998000,1,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L2,MODEL_1.816000_46.610,1.816000,46.610000,nearest_ndvd,H-ZLAF69A,1.816000,46.556066,0.000000,0.053934,0.002697,0.0,0.0,0.002697,0.997303,2,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L2,MODEL_1.816000_46.610,1.816000,46.610000,nearest_ndvd,H-ZLAF69,1.816000,46.549300,0.000000,0.060700,0.003035,0.0,0.0,0.003035,0.996965,3,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L2,MODEL_1.816000_46.610,1.816000,46.610000,role_aware,TAF5,1.816000,46.570000,0.000000,0.040000,0.002000,0.8,0.2,1.002000,0.000000,1,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
US7023628B1,L2,MODEL_1.816000_46.610,1.816000,46.610000,role_aware,H-ZLAF69A,1.816000,46.556066,0.000000,0.053934,0.002697,0.8,0.2,1.002697,0.000000,2,DJI_LIBRARY_INCOMPLETE; analytical candidate only; substitution not executed
