material_id,material_name,source_library,nd,Vd,PgF,material_type,available_in_dji,role_candidate,notes
model_glass:MODEL_1.910000_35.470,MODEL_1.910000_35.470,model_glass,1.910000,35.470000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.816000_46.610,MODEL_1.816000_46.610,model_glass,1.816000,46.610000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.917000_21.510,MODEL_1.917000_21.510,model_glass,1.917000,21.510000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.729000_54.670,MODEL_1.729000_54.670,model_glass,1.729000,54.670000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.640000_60.150,MODEL_1.640000_60.150,model_glass,1.640000,60.150000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.516000_64.170,MODEL_1.516000_64.170,model_glass,1.516000,64.170000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.516800_64.103,MODEL_1.516800_64.103,model_glass,1.516800,64.103000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.620409_60.140,MODEL_1.620409_60.140,model_glass,1.620409,60.140000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.672700_32.170,MODEL_1.672700_32.170,model_glass,1.672700,32.170000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.603001_65.416,MODEL_1.603001_65.416,model_glass,1.603001,65.416000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.744000_45.001,MODEL_1.744000_45.001,model_glass,1.744000,45.001000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.755200_27.613,MODEL_1.755200_27.613,model_glass,1.755200,27.613000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.603110_60.645,MODEL_1.603110_60.645,model_glass,1.603110,60.645000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:E-LASF05,E-LASF05,native_donor,1.834600,42.720000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:E-SF11,E-SF11,native_donor,1.784500,25.680000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:E-LF5,E-LF5,native_donor,1.581300,40.740000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:E-SF6,E-SF6,native_donor,1.804900,25.430000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:E-PSK02,E-PSK02,native_donor,1.617900,63.370000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:E-BK7,E-BK7,native_donor,1.516700,64.100000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:H-ZF7LA,H-ZF7LA,native_donor,1.910000,35.300000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:H-QK3L,H-QK3L,native_donor,1.595000,67.700000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:H-ZK9B,H-ZK9B,native_donor,1.640000,60.100000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:H-ZK9A,H-ZK9A,native_donor,1.620000,60.400000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:H-ZBAF52A,H-ZBAF52A,native_donor,1.700000,48.000000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
native_donor:H-K9L,H-K9L,native_donor,1.510000,64.100000,UNKNOWN,glass,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.910000_37.000,MODEL_1.910000_37.000,model_glass,1.910000,37.000000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.540000_55.700,MODEL_1.540000_55.700,model_glass,1.540000,55.700000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.670000_20.400,MODEL_1.670000_20.400,model_glass,1.670000,20.400000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.500000_81.600,MODEL_1.500000_81.600,model_glass,1.500000,81.600000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
model_glass:MODEL_1.520000_64.200,MODEL_1.520000_64.200,model_glass,1.520000,64.200000,UNKNOWN,UNKNOWN,UNKNOWN,unknown,Native vector only; catalog identity not silently assumed
dji_target:CDGM-ZEMAX202509:H-FK55,H-FK55,dji_target,1.550200,75.224681,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-FK61,H-FK61,dji_target,1.497000,81.612838,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-FK61B,H-FK61B,dji_target,1.497000,81.605419,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-FK71,H-FK71,dji_target,1.456500,90.273821,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
dji_target:CDGM-ZEMAX202509:H-FK95N,H-FK95N,dji_target,1.437800,94.523389,UNKNOWN,glass,YES,positive_crown,DJI_LIBRARY_INCOMPLETE; role is nd/Vd heuristic only
