variant_id,base_case,experiment_group,front_group_scale,front_power_scale,rear_group_scale,rear_power_scale,stop_to_rear_delta,rear_spacing_delta,image_plane_delta,TTL_mm,BFL_mm,image_height_mm,image_height_gain,max_pass_field_deg,failure_field,failure_ray,failure_surface,failure_type,geometry_status,trace_status,gate_A_BFL,gate_B_field60,gate_C_IH3,gate_D_IH4,notes
A_001,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,-0.1,0.0,16.395000,2.523000,2.126549,0.945053,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_002,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,-0.1,0.2,16.595000,2.723000,2.177428,0.967665,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_003,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,-0.1,0.4,16.795000,2.923000,2.228307,0.990276,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_004,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,0.0,0.0,16.495000,2.523000,2.163868,0.961639,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_005,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,0.0,0.2,16.695000,2.723000,2.214615,0.984191,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_006,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,0.0,0.4,16.895000,2.923000,2.265361,1.006743,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_007,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,0.1,0.0,16.595000,2.523000,2.201812,0.978501,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_008,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,0.1,0.2,16.795000,2.723000,2.252457,1.001008,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_009,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,0.1,0.4,16.995000,2.923000,2.303102,1.023515,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
A_010,FOCUS_048,rear_relay_magnification,1.0,1.0,1.15,1.15,0.0,0.2,0.0,16.695000,2.523000,2.240422,0.995660,70.0,NONE,,,none,GATE1_FAIL_GEOMETRY,FULL_0_70,PASS,PASS,FAIL,FAIL,baseline_IH70=2.250189; grouped curvature-power scaling; asphere coefficients unchanged; deterministic diagnostic; no optimizer
